Make Id,Make,Make Model,Model,Trim Description,Engine Id,Engine Fuel Type,Engine Cylinders,Engine Size,Engine Horsepower Hp,Engine Rpm,Engine Drive Type,Engine Transmission,Body Id,Body Type,Body Doors,Body Seats
1,Acura,Acura RLX,RLX,Sport Hybrid SH-AWD 4dr Sedan AWD (3.5L 6cyl gas/electric hybrid 7AM),6319,hybrid,V6,3.5,377,6500,all wheel drive,7-speed automated manual,6319,Sedan,4,5
1,Acura,Acura TLX,TLX,A-Spec 4dr Sedan w/Red Leather (3.5L 6cyl 9A),6330,gas,V6,3.5,290,6200,front wheel drive,9-speed shiftable automatic,6330,Sedan,4,5
1,Acura,Acura TLX,TLX,A-Spec 4dr Sedan (3.5L 6cyl 9A),6329,gas,V6,3.5,290,6200,front wheel drive,9-speed shiftable automatic,6329,Sedan,4,5
1,Acura,Acura TLX,TLX,A-Spec 4dr Sedan w/Red Leather (2.4L 4cyl 8AM),6328,gas,I4,2.4,206,6800,front wheel drive,8-speed automated manual,6328,Sedan,4,5
1,Acura,Acura TLX,TLX,A-Spec 4dr Sedan (2.4L 4cyl 8AM),6327,gas,I4,2.4,206,6800,front wheel drive,8-speed automated manual,6327,Sedan,4,5
1,Acura,Acura TLX,TLX,4dr Sedan (2.4L 4cyl 8AM),6320,gas,I4,2.4,206,6800,front wheel drive,8-speed automated manual,6320,Sedan,4,5
1,Acura,Acura TLX,TLX,4dr Sedan (3.5L 6cyl 9A),6321,gas,V6,3.5,290,6200,front wheel drive,9-speed shiftable automatic,6321,Sedan,4,5
1,Acura,Acura TLX,TLX,4dr Sedan w/Technology Package (2.4L 4cyl 8AM),6322,gas,I4,2.4,206,6800,front wheel drive,8-speed automated manual,6322,Sedan,4,5
1,Acura,Acura TLX,TLX,4dr Sedan w/Technology Package (3.5L 6cyl 9A),6323,gas,V6,3.5,290,6200,front wheel drive,9-speed shiftable automatic,6323,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD 4dr Sedan AWD w/Advance Package (3.5L 6cyl 9A),6326,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6326,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD 4dr Sedan AWD w/Technology Package (3.5L 6cyl 9A),6325,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6325,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD 4dr Sedan AWD (3.5L 6cyl 9A),6324,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6324,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD A-Spec 4dr Sedan AWD (3.5L 6cyl 9A),6331,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6331,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD A-Spec 4dr Sedan AWD w/Red Leather (3.5L 6cyl 9A),6332,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6332,Sedan,4,5
1,Acura,Acura TLX,TLX,SH-AWD PMC Edition 4dr Sedan AWD (3.5L 6cyl 9A),6333,gas,V6,3.5,290,6200,all wheel drive,9-speed shiftable automatic,6333,Sedan,4,5
24,Alfa Romeo,Alfa Romeo 4C,4C,Spider 2dr Coupe (1.7L 4cyl Turbo 6AM),6334,gas,I4,1.7,237,6000,rear wheel drive,6-speed automated manual,6334,Coupe,2,2
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,4dr Sedan (2.0L 4cyl Turbo 8A),6335,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6335,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,4dr Sedan AWD (2.0L 4cyl Turbo 8A),6336,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6336,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A),6347,gas,V6,2.9,505,6500,rear wheel drive,8-speed shiftable automatic,6347,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Sport 4dr Sedan (2.0L 4cyl Turbo 8A),6337,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6337,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),6338,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6338,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti 4dr Sedan (2.0L 4cyl Turbo 8A),6339,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6339,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A),6340,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6340,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A),6341,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6341,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Lusso 4dr Sedan AWD (2.0L 4cyl Turbo 8A),6342,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6342,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A),6343,gas,I4,2,280,5200,rear wheel drive,8-speed shiftable automatic,6343,Sedan,4,5
24,Alfa Romeo,Alfa Romeo Giulia,Giulia,Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A),6344,gas,I4,2,280,5200,all wheel drive,8-speed shiftable automatic,6344,Sedan,4,5
